top - 10:20:25 up 23:51,  4 users,  load average: 2.92, 2.78, 2.77
Tasks: 382 total,   5 running, 377 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9.5 us, 58.1 sy,  0.0 ni, 28.6 id,  3.8 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   9866.5 total,    109.8 free,   9441.3 used,    596.3 buff/cache     
MiB Swap:  10240.0 total,   4641.1 free,   5598.9 used.    425.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3678 claivea+  20   0  231924   5052   4884 R   0.0   0.1   8:49.59 laptopL+
   3743 claivea+  20   0  232056   8976   8972 S   0.0   0.1   0:01.05 low_dis+
   3839 claivea+  20   0  232520   4920   4916 S   0.0   0.0   0:01.50 bash
   4100 root      -2   0       0      0      0 S   0.0   0.0   0:00.01 psimon
   4121 claivea+  20   0  232464   5456   4824 S   0.0   0.1   0:26.38 runscre+
   4249 claivea+  20   0 1102348 145344 145056 S   0.0   1.4   0:15.25 journal+
   4250 claivea+  20   0  232056   1560   1556 S   0.0   0.0   0:00.00 securit+
   5672 claivea+  20   0  769612  11016  10948 S   0.0   0.1   0:00.64 gvfs-ud+
   5855 claivea+  20   0  761620   6904   6896 S   0.0   0.1   0:00.07 gvfsd-t+
   5975 claivea+  20   0  688172   6896   6888 S   0.0   0.1   0:00.06 gvfsd-n+
   5983 claivea+  20   0  616748   7548   7540 S   0.0   0.1   0:00.59 gvfsd-d+
   5997 claivea+  20   0  614080   7552   7236 S   0.0   0.1   0:01.59 gvfsd-w+
   6002 claivea+  20   0  264144   6288   4784 S   0.0   0.1   0:04.12 wsdd
   7404 root      20   0 1821484   4248   3912 S   0.0   0.0   0:03.38 pcscd
  21719 claivea+  20   0  258.1g  63428  60712 S   0.0   0.6   3:29.90 dolphin
  25425 claivea+  20   0  384428   4504   4500 S   0.0   0.0   0:00.18 oosplash
  25544 claivea+  20   0 2931020  43880  43068 S   0.0   0.4   0:51.92 soffice+
  44638 claivea+  20   0 2127588  78488  70360 S   0.0   0.8   4:14.57 kate
  44743 claivea+  20   0  234368  11116  11112 S   0.0   0.1   0:00.13 bash
  94668 root      20   0       0      0      0 I   0.0   0.0   0:11.42 kworker+
 167692 root      20   0       0      0      0 I   0.0   0.0   0:00.98 kworker+
 168313 root      20   0       0      0      0 I   0.0   0.0   0:01.22 kworker+
 172290 claivea+  20   0  328604   3028   3024 S   0.0   0.0   0:00.13 sd_espe+
 172322 root      20   0  245500  16920  16916 S   0.0   0.2   0:00.03 sudo
 172331 root      20   0  347912  16800  16760 S   0.0   0.2   0:04.74 powertop
 172384 claivea+  20   0  328692   3200   3196 S   0.0   0.0   0:00.05 sd_espe+
 172572 claivea+  20   0  159144   3196   3076 S   0.0   0.0   0:06.66 sd_dummy
 172594 claivea+  20   0  339888   5868   5864 S   0.0   0.1   0:01.22 speech-+
 173482 claivea+  20   0 1109192 159508 159232 S   0.0   1.6   0:01.18 journal+
 173483 claivea+  20   0  232056   3636   3632 S   0.0   0.0   0:00.00 login_m+
 180940 claivea+  20   0  232056  17420  17180 S   0.0   0.2   0:09.90 bash
 209953 claivea+  20   0  231924  11160  10984 S   0.0   0.1   7:21.62 prevent+
 225119 claivea+  20   0 1686512  62812  62804 S   0.0   0.6   0:00.40 kate
 272655 root      20   0       0      0      0 I   0.0   0.0   0:00.28 kworker+
 326154 claivea+  20   0 1790092  63304  63296 S   0.0   0.6   0:02.41 kdialog
 343908 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 371135 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 374473 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
 392170 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 410413 root      20   0       0      0      0 I   0.0   0.0   0:04.10 kworker+
 410414 root      20   0       0      0      0 I   0.0   0.0   0:02.66 kworker+
 416475 root      20   0       0      0      0 I   0.0   0.0   0:00.47 kworker+
 425060 root      20   0       0      0      0 I   0.0   0.0   0:02.76 kworker+
 425063 root      20   0       0      0      0 I   0.0   0.0   0:04.30 kworker+
 425064 root      20   0       0      0      0 I   0.0   0.0   0:04.40 kworker+
 425068 root      20   0       0      0      0 I   0.0   0.0   0:03.99 kworker+
 425070 root      20   0       0      0      0 I   0.0   0.0   0:00.64 kworker+
 425073 root      20   0       0      0      0 I   0.0   0.0   0:00.70 kworker+
 425074 root      20   0       0      0      0 I   0.0   0.0   0:03.54 kworker+
 425078 root      20   0       0      0      0 I   0.0   0.0   0:04.30 kworker+
